NGO Name,Latitude,Longitude,Average Age of Beneficiaries,People Count,Last Food Received (hrs),Food Stock Level (%),Urgency Score
Akshaya Trust,13.036686181790904,80.26158682618033,60,192,1,44,208.61
Nice Foundation,13.054744424304848,80.21601731335822,22,128,3,5,223.215
Mudhra,13.054172304317786,80.22901304859218,36,155,12,83,133.035
Mudhra,13.057205620936088,80.22997440249682,43,119,23,47,182.07
Ekam Foundation,13.06437158750584,80.20663689702825,39,50,24,34,164.8
India Vision Institute,13.079228538953515,80.24329926820582,24,117,8,70,126.325
Akshaya Trust,13.026584269550208,80.26078134154045,59,174,24,28,245.87
Life Help Centre,13.0034595608886,80.2581178184062,64,171,14,52,201.075
India Vision Institute,13.078089866652851,80.23609430250498,36,72,2,59,119.175
The Banyan,13.071847897464895,80.18640123109124,27,150,23,73,151.61
Life Help Centre,13.001469711280118,80.2649584104501,64,131,11,4,245.615
Akshaya Trust,13.024178646474647,80.26735940414854,57,152,19,41,211.12
Akshaya Trust,13.033186434241644,80.27372111562464,39,172,16,25,233.575
Bhumi,13.08620997259954,80.27104641874493,23,91,13,27,180.255
Sri Arunodayam,13.08494157717377,80.244900281595,49,183,22,47,215.26
India Vision Institute,13.06895826594178,80.23216414015077,37,110,19,31,195.215
Sri Arunodayam,13.086560914526627,80.25172226291485,56,147,9,83,137.225
Bhumi,13.076901010493916,80.2702913446538,57,167,20,21,248.34
Life Help Centre,12.994815533722788,80.26491674571288,27,109,8,81,103.495
The Banyan,13.0732256482537,80.17549133682108,46,105,8,87,104.485
India Vision Institute,13.063278326908824,80.2309589103083,41,94,20,34,185.69
Sri Arunodayam,13.08902222946242,80.25713043417426,37,181,15,70,167.695
The Banyan,13.07188505184306,80.1764226253319,46,141,12,44,188.11
Life Help Centre,12.993991769067993,80.25429091484463,37,195,21,34,226.58
Akshaya Trust,13.03278777701656,80.26754417662222,58,95,24,65,150.315
Ekam Foundation,13.045204545109272,80.20131980906498,24,86,5,2,209.615
Akshaya Trust,13.02304952839012,80.2657701716343,58,186,4,97,135.03
Akshaya Trust,13.040302906538262,80.27024467990844,43,145,8,62,159.74
Sri Arunodayam,13.08912321174672,80.25548396892628,35,163,8,53,178.625
Akshaya Trust,13.03908907834762,80.27637871644721,26,179,20,4,267.865
The Banyan,13.077746194765508,80.18459116429689,50,121,12,28,205.1
Bhumi,13.079903473153168,80.26107988076495,36,195,4,58,181.385
Life Help Centre,12.994746211578835,80.2510042218669,25,56,10,59,114.225
The Banyan,13.066518175086102,80.18172387145138,30,68,8,85,81.44
Mudhra,13.05869765878432,80.23384093375223,60,105,16,76,134.0
Nice Foundation,13.042031738309896,80.21511059313814,44,69,24,95,85.29
India Vision Institute,13.060898227366817,80.24440071493255,60,171,24,75,173.605
Life Help Centre,13.00350199622961,80.26372069536131,37,125,6,95,95.72
Akshaya Trust,13.028298503275415,80.25747041457934,36,177,21,6,268.61
India Vision Institute,13.076878272505123,80.23824135065219,27,138,10,10,231.54
The Banyan,13.066658835015865,80.18133578622415,47,92,19,89,103.775
Ekam Foundation,13.050179207793793,80.20417375141817,39,88,10,36,169.34
Ekam Foundation,13.048977778745012,80.20769789411139,37,65,10,26,173.175
Nice Foundation,13.058077454198784,80.22811742586238,34,126,2,26,195.235
India Vision Institute,13.070666661725248,80.23771340277776,28,146,24,29,216.44
Nice Foundation,13.050059487371218,80.2167072860354,64,125,19,45,193.22
Dean Foundation,13.08183202493992,80.2685607952741,24,171,16,19,234.845
Sri Arunodayam,13.087319365660155,80.25555629893842,63,59,3,69,109.91
Sri Arunodayam,13.089836619225627,80.25753432647281,37,160,8,54,176.38
India Vision Institute,13.072425359603882,80.24422621272265,23,50,21,59,120.665
Nice Foundation,13.040201598437893,80.2160962155207,31,97,23,8,225.02
The Banyan,13.05968742476576,80.18781997778474,57,117,14,55,166.895
Dean Foundation,13.092978293872426,80.25029342122724,29,156,23,67,162.1
Bhumi,13.080918496668762,80.27802846392954,36,124,4,91,98.375
